EntryTime,Side,EntryPrice,ExitTime,ExitPrice,Reason,Exit_SL_Value,PnL_Points,PnL_INR
2024-09-13 14:45:00+05:30,SELL_PE,25369.05,2024-09-13 14:55:00+05:30,25356.05,SL Hit,25356.05,13.0,975.0
2024-09-16 09:30:00+05:30,BUY_CE,25414.9,2024-09-16 09:50:00+05:30,25435.7,SL Hit,25435.7,20.8,1560.0
2024-09-16 10:35:00+05:30,SELL_PE,25402.35,2024-09-16 11:00:00+05:30,25389.35,SL Hit,25389.35,13.0,975.0
2024-09-17 09:55:00+05:30,SELL_PE,25363.9,2024-09-17 10:30:00+05:30,25382.02,Initial SL Hit,25382.02,-18.12,-1359.0
2024-09-18 09:40:00+05:30,BUY_CE,25433.7,2024-09-18 10:00:00+05:30,25417.03,Initial SL Hit,25417.03,-16.67,-1250.25
2024-09-18 10:40:00+05:30,BUY_CE,25466.5,2024-09-18 12:25:00+05:30,25479.5,SL Hit,25479.5,13.0,975.0
2024-09-18 13:05:00+05:30,SELL_PE,25402.4,2024-09-18 13:05:00+05:30,25389.4,SL Hit,25389.4,13.0,975.0
2024-09-18 13:10:00+05:30,SELL_PE,25374.4,2024-09-18 13:40:00+05:30,25308.45,SL Hit,25308.45,65.95,4946.25
2024-09-18 14:55:00+05:30,BUY_CE,25366.25,2024-09-18 15:10:00+05:30,25399.1,SL Hit,25399.1,32.85,2463.75
2024-09-19 09:30:00+05:30,BUY_CE,25561.95,2024-09-19 09:45:00+05:30,25593.47,SL Hit,25593.47,31.52,2364.0
2024-09-19 10:40:00+05:30,SELL_PE,25497.75,2024-09-19 10:45:00+05:30,25484.75,SL Hit,25484.75,13.0,975.0
2024-09-19 11:20:00+05:30,SELL_PE,25470.2,2024-09-19 11:20:00+05:30,25457.2,SL Hit,25457.2,13.0,975.0
2024-09-19 11:25:00+05:30,SELL_PE,25440.05,2024-09-19 11:35:00+05:30,25427.05,SL Hit,25427.05,13.0,975.0
2024-09-19 11:40:00+05:30,SELL_PE,25423.7,2024-09-19 11:40:00+05:30,25410.7,SL Hit,25410.7,13.0,975.0
2024-09-19 11:45:00+05:30,SELL_PE,25409.75,2024-09-19 12:00:00+05:30,25396.75,SL Hit,25396.75,13.0,975.0
2024-09-19 12:40:00+05:30,BUY_CE,25458.25,2024-09-19 12:55:00+05:30,25430.43,Initial SL Hit,25430.43,-27.82,-2086.5
2024-09-19 13:05:00+05:30,SELL_PE,25405.85,2024-09-19 13:20:00+05:30,25392.85,SL Hit,25392.85,13.0,975.0
2024-09-19 14:25:00+05:30,BUY_CE,25413.95,2024-09-19 15:25:00+05:30,25445.0,EOD Exit,25443.7,31.05,2328.75
2024-09-20 09:50:00+05:30,BUY_CE,25537.65,2024-09-20 09:50:00+05:30,25550.65,SL Hit,25550.65,13.0,975.0
2024-09-20 09:55:00+05:30,BUY_CE,25585.15,2024-09-20 10:00:00+05:30,25598.15,SL Hit,25598.15,13.0,975.0
2024-09-20 10:40:00+05:30,BUY_CE,25677.65,2024-09-20 10:45:00+05:30,25690.65,SL Hit,25690.65,13.0,975.0
2024-09-20 11:15:00+05:30,BUY_CE,25710.6,2024-09-20 11:20:00+05:30,25723.6,SL Hit,25723.6,13.0,975.0
2024-09-20 12:50:00+05:30,BUY_CE,25794.65,2024-09-20 13:00:00+05:30,25767.13,Initial SL Hit,25767.13,-27.52,-2064.0
2024-09-20 13:15:00+05:30,BUY_CE,25796.2,2024-09-20 13:30:00+05:30,25769.68,Initial SL Hit,25769.68,-26.52,-1989.0
2024-09-20 13:35:00+05:30,SELL_PE,25572.6,2024-09-20 13:35:00+05:30,25559.6,SL Hit,25559.6,13.0,975.0
2024-09-20 13:40:00+05:30,SELL_PE,25551.85,2024-09-20 13:40:00+05:30,25538.85,SL Hit,25538.85,13.0,975.0
2024-09-20 14:50:00+05:30,BUY_CE,25777.45,2024-09-20 14:50:00+05:30,25790.45,SL Hit,25790.45,13.0,975.0
2024-09-20 15:05:00+05:30,BUY_CE,25794.05,2024-09-20 15:15:00+05:30,25807.05,SL Hit,25807.05,13.0,975.0
2024-09-24 09:45:00+05:30,BUY_CE,25958.5,2024-09-24 09:55:00+05:30,25971.5,SL Hit,25971.5,13.0,975.0
2024-09-24 10:20:00+05:30,BUY_CE,25973.45,2024-09-24 10:40:00+05:30,25952.96,Initial SL Hit,25952.96,-20.49,-1536.75
2024-09-24 14:50:00+05:30,SELL_PE,25962.8,2024-09-24 15:10:00+05:30,25928.65,SL Hit,25928.65,34.15,2561.25
2024-09-25 10:10:00+05:30,SELL_PE,25911.25,2024-09-25 11:45:00+05:30,25898.25,SL Hit,25898.25,13.0,975.0
2024-09-25 15:05:00+05:30,BUY_CE,25997.65,2024-09-25 15:20:00+05:30,26018.95,SL Hit,26018.95,21.3,1597.5
2024-09-26 14:25:00+05:30,BUY_CE,26110.2,2024-09-26 15:05:00+05:30,26240.9,SL Hit,26240.9,130.7,9802.5
2024-09-27 09:50:00+05:30,BUY_CE,26265.85,2024-09-27 11:05:00+05:30,26241.36,Initial SL Hit,26241.36,-24.49,-1836.75
2024-09-27 13:50:00+05:30,BUY_CE,26221.45,2024-09-27 14:00:00+05:30,26204.01,Initial SL Hit,26204.01,-17.44,-1308.0
2024-09-27 15:05:00+05:30,SELL_PE,26175.25,2024-09-27 15:10:00+05:30,26162.25,SL Hit,26162.25,13.0,975.0
2024-09-30 09:30:00+05:30,SELL_PE,26035.25,2024-09-30 09:55:00+05:30,25973.45,SL Hit,25973.45,61.8,4635.0
2024-09-30 14:15:00+05:30,SELL_PE,25826.05,2024-09-30 14:15:00+05:30,25813.05,SL Hit,25813.05,13.0,975.0
2024-09-30 14:20:00+05:30,SELL_PE,25807.75,2024-09-30 14:50:00+05:30,25827.43,Initial SL Hit,25827.43,-19.68,-1476.0
2024-09-30 14:55:00+05:30,BUY_CE,25842.95,2024-09-30 15:00:00+05:30,25822.28,Initial SL Hit,25822.28,-20.67,-1550.25
2024-10-01 10:10:00+05:30,SELL_PE,25824.05,2024-10-01 10:20:00+05:30,25811.05,SL Hit,25811.05,13.0,975.0
2024-10-01 10:25:00+05:30,SELL_PE,25798.3,2024-10-01 10:35:00+05:30,25767.75,SL Hit,25767.75,30.55,2291.25
2024-10-01 10:40:00+05:30,SELL_PE,25759.35,2024-10-01 10:55:00+05:30,25784.43,Initial SL Hit,25784.43,-25.08,-1881.0
2024-10-01 11:40:00+05:30,BUY_CE,25786.0,2024-10-01 11:50:00+05:30,25808.45,SL Hit,25808.45,22.45,1683.75
2024-10-01 11:55:00+05:30,BUY_CE,25821.75,2024-10-01 12:00:00+05:30,25834.75,SL Hit,25834.75,13.0,975.0
2024-10-01 12:40:00+05:30,SELL_PE,25771.1,2024-10-01 12:45:00+05:30,25758.1,SL Hit,25758.1,13.0,975.0
2024-10-01 12:50:00+05:30,SELL_PE,25768.85,2024-10-01 13:10:00+05:30,25790.85,Initial SL Hit,25790.85,-22.0,-1650.0
2024-10-01 13:20:00+05:30,BUY_CE,25807.2,2024-10-01 13:40:00+05:30,25820.2,SL Hit,25820.2,13.0,975.0
2024-10-01 14:20:00+05:30,SELL_PE,25771.9,2024-10-01 14:30:00+05:30,25758.9,SL Hit,25758.9,13.0,975.0
2024-10-01 14:35:00+05:30,SELL_PE,25773.05,2024-10-01 14:45:00+05:30,25760.05,SL Hit,25760.05,13.0,975.0
2024-10-01 15:00:00+05:30,BUY_CE,25817.05,2024-10-01 15:10:00+05:30,25799.01,Initial SL Hit,25799.01,-18.04,-1353.0
2024-10-03 11:20:00+05:30,SELL_PE,25427.9,2024-10-03 11:25:00+05:30,25414.9,SL Hit,25414.9,13.0,975.0
2024-10-03 11:30:00+05:30,SELL_PE,25408.25,2024-10-03 11:50:00+05:30,25395.25,SL Hit,25395.25,13.0,975.0
2024-10-03 13:25:00+05:30,SELL_PE,25313.45,2024-10-03 13:25:00+05:30,25300.45,SL Hit,25300.45,13.0,975.0
2024-10-03 13:30:00+05:30,SELL_PE,25300.65,2024-10-03 13:35:00+05:30,25287.65,SL Hit,25287.65,13.0,975.0
2024-10-03 13:40:00+05:30,SELL_PE,25284.25,2024-10-03 13:45:00+05:30,25271.25,SL Hit,25271.25,13.0,975.0
2024-10-03 13:50:00+05:30,SELL_PE,25255.2,2024-10-03 13:55:00+05:30,25242.2,SL Hit,25242.2,13.0,975.0
2024-10-04 09:50:00+05:30,BUY_CE,25243.95,2024-10-04 09:50:00+05:30,25256.95,SL Hit,25256.95,13.0,975.0
2024-10-04 09:55:00+05:30,BUY_CE,25279.3,2024-10-04 10:10:00+05:30,25231.85,Initial SL Hit,25231.85,-47.45,-3558.75
2024-10-04 10:35:00+05:30,BUY_CE,25237.4,2024-10-04 10:35:00+05:30,25250.4,SL Hit,25250.4,13.0,975.0
2024-10-04 10:40:00+05:30,BUY_CE,25282.9,2024-10-04 10:45:00+05:30,25295.9,SL Hit,25295.9,13.0,975.0
2024-10-04 10:50:00+05:30,BUY_CE,25336.8,2024-10-04 10:55:00+05:30,25349.8,SL Hit,25349.8,13.0,975.0
2024-10-04 11:45:00+05:30,BUY_CE,25330.05,2024-10-04 12:15:00+05:30,25459.93,SL Hit,25459.93,129.88,9741.0
2024-10-04 12:35:00+05:30,SELL_PE,25291.45,2024-10-04 12:35:00+05:30,25278.45,SL Hit,25278.45,13.0,975.0
2024-10-04 12:40:00+05:30,SELL_PE,25203.1,2024-10-04 12:50:00+05:30,25153.36,SL Hit,25153.36,49.74,3730.5
2024-10-04 12:55:00+05:30,SELL_PE,25117.25,2024-10-04 13:05:00+05:30,25097.77,SL Hit,25097.77,19.48,1461.0
2024-10-07 10:30:00+05:30,SELL_PE,25018.7,2024-10-07 10:30:00+05:30,25005.7,SL Hit,25005.7,13.0,975.0
2024-10-07 10:35:00+05:30,SELL_PE,24970.95,2024-10-07 11:05:00+05:30,24838.21,SL Hit,24838.21,132.74,9955.5
2024-10-07 11:25:00+05:30,BUY_CE,24975.2,2024-10-07 11:25:00+05:30,24988.2,SL Hit,24988.2,13.0,975.0
2024-10-07 11:30:00+05:30,BUY_CE,24966.9,2024-10-07 11:30:00+05:30,24979.9,SL Hit,24979.9,13.0,975.0
2024-10-07 12:45:00+05:30,SELL_PE,24822.7,2024-10-07 12:55:00+05:30,24809.7,SL Hit,24809.7,13.0,975.0
2024-10-07 13:00:00+05:30,SELL_PE,24793.9,2024-10-07 13:00:00+05:30,24780.9,SL Hit,24780.9,13.0,975.0
2024-10-07 13:05:00+05:30,SELL_PE,24778.6,2024-10-07 13:20:00+05:30,24765.6,SL Hit,24765.6,13.0,975.0
2024-10-07 13:40:00+05:30,SELL_PE,24730.55,2024-10-07 13:40:00+05:30,24717.55,SL Hit,24717.55,13.0,975.0
2024-10-07 13:45:00+05:30,SELL_PE,24703.65,2024-10-07 13:55:00+05:30,24742.56,Initial SL Hit,24742.56,-38.91,-2918.25
2024-10-07 14:05:00+05:30,BUY_CE,24819.3,2024-10-07 14:10:00+05:30,24776.57,Initial SL Hit,24776.57,-42.73,-3204.75
2024-10-07 14:40:00+05:30,BUY_CE,24816.65,2024-10-07 14:50:00+05:30,24874.02,SL Hit,24874.02,57.37,4302.75
2024-10-08 09:50:00+05:30,BUY_CE,24873.95,2024-10-08 09:55:00+05:30,24886.95,SL Hit,24886.95,13.0,975.0
2024-10-08 10:25:00+05:30,BUY_CE,24884.9,2024-10-08 10:45:00+05:30,24930.72,SL Hit,24930.72,45.82,3436.5
2024-10-08 11:05:00+05:30,BUY_CE,24951.45,2024-10-08 11:20:00+05:30,24964.45,SL Hit,24964.45,13.0,975.0
2024-10-08 11:25:00+05:30,BUY_CE,24973.8,2024-10-08 11:30:00+05:30,24986.8,SL Hit,24986.8,13.0,975.0
2024-10-08 12:00:00+05:30,SELL_PE,24923.9,2024-10-08 12:10:00+05:30,24906.25,SL Hit,24906.25,17.65,1323.75
2024-10-08 12:45:00+05:30,SELL_PE,24901.55,2024-10-08 12:55:00+05:30,24888.55,SL Hit,24888.55,13.0,975.0
2024-10-08 13:10:00+05:30,BUY_CE,24975.15,2024-10-08 13:30:00+05:30,24988.15,SL Hit,24988.15,13.0,975.0
2024-10-08 13:35:00+05:30,BUY_CE,25009.8,2024-10-08 14:00:00+05:30,25022.8,SL Hit,25022.8,13.0,975.0
2024-10-08 14:10:00+05:30,BUY_CE,25036.25,2024-10-08 14:30:00+05:30,25012.18,Initial SL Hit,25012.18,-24.07,-1805.25
2024-10-08 14:40:00+05:30,SELL_PE,24969.2,2024-10-08 14:45:00+05:30,24956.2,SL Hit,24956.2,13.0,975.0
2024-10-08 14:50:00+05:30,SELL_PE,24939.45,2024-10-08 14:55:00+05:30,24966.75,Initial SL Hit,24966.75,-27.3,-2047.5
2024-10-09 09:45:00+05:30,BUY_CE,25096.25,2024-10-09 10:00:00+05:30,25064.56,Initial SL Hit,25064.56,-31.69,-2376.75
2024-10-09 10:10:00+05:30,BUY_CE,25171.0,2024-10-09 10:10:00+05:30,25184.0,SL Hit,25184.0,13.0,975.0
